District,Geographical Area,2011 Assessment-Very Dense Forest,2011 Assessment - Mod. Dense Forest,2011 Assessment - Open Forest,2011 Assessment - Total,Percent of GA,Change,Scrub
ALAPPUZHA,1414,0,12,26,38,2.69,0,0
ERNAKULAM,2407,12,298,385,695,28.87,-1,1
IDUKKI,5019,350,2159,1421,3930,78.3,-2,5
KANNUR,2966,21,351,269,641,21.61,0,0
KASARAGOD,1992,0,307,285,592,29.72,0,1
KOLLAM,2491,75,632,623,1330,53.39,-7,0
KOTTAYAM,2203,12,542,335,889,40.35,-6,1
KOZHIKODE,2344,32,288,271,591,25.21,0,0
MALAPPURAM,3550,144,406,659,1209,34.06,-2,9
PALAKKAD,4480,276,693,606,1575,35.16,0,35
PATTANAMTHITTA,2642,144,1147,464,1755,66.43,-3,0
THIRUVANANTHAPURAM,2192,55,824,470,1349,61.54,-1,0
TRISSUR,3032,181,388,362,931,30.71,-2,5
WAYANAD,2131,140,1347,288,1775,83.29,0,1
Grand Total,38863,1442,9394,6464,17300,44.52,-24,58
